曲名,id,time,EXPERT,FC定数,AP定数,MASTER,FC定数,AP定数
ニア,73,20201002,22,20.704,21.492,26,25.891,25.108
アスノヨゾラ哨戒班,18,20201001,25,25.488,26.065,28,28.037,28.346
Tell Your World,1,20190610,22,21.73,21.924,26,25.194,24.041
ロキ,2,20190610,24,23.338,23.408,28,28.643,28.639
テオ,3,20190610,27,27.144,27.977,32,31.715,31.958
ヒバナ -Reloaded-,6,20190610,28,27.529,27.438,32,32.959,32.592
ハッピーシンセサイザ,10,20190610,24,23.518,24.544,28,27.741,27.661
Nostalogic,13,20190610,23,22.671,23.192,28,28.283,28.198
シャルル,19,20190610,23,22.903,23.749,27,26.971,26.662
劣等上等,26,20190610,25,25.058,25.82,30,29.499,30.046
ドクター＝ファンクビート,28,20190610,27,26.069,27.611,32,32.115,32.727
ブリキノダンス,38,20190610,25,24.708,25.265,29,29.284,29.691
スイートマジック,41,20190610,24,23.601,24.834,27,26.636,26.907
ネクストネスト,43,20190610,27,26.837,28.01,29,29.176,29.698
メルト,47,20190610,25,25.503,26.336,28,28.311,28.852
初音ミクの消失,49,20190610,30,29.29,29.909,35,35.045,34.839
Blessing,50,20190610,23,22.78,23.985,27,27.002,27.336
セカイはまだ始まってすらいない,51,20190610,24,23.488,24.205,29,28.817,28.58
Ready Steady,54,20190610,25,24.341,24.991,29,29.169,29.141
アイドル新鋭隊,57,20190610,24,23.768,23.815,28,28.242,27.507
悔やむと書いてミライ,60,20190610,26,25.758,25.837,30,29.904,29.821
needLe,63,20190610,25,25.283,26.012,29,28.735,28.605
ハロ／ハワユ,66,20190610,22,21.559,23.172,26,25.861,26.217
自傷無色,67,20190610,22,21.252,21.797,26,25.429,24.562
フラジール,69,20190610,24,23.832,24.682,27,27.278,27.689
ツギハギスタッカート,71,20190610,24,23.988,24.419,27,27.332,26.646
セカイ,76,20190610,23,23.008,23.71,27,26.725,26.293
ワーワーワールド,77,20190610,24,23.851,24.144,28,28.338,28.527
ぼうけんのしょがきえました！,78,20190610,26,25.708,25.802,31,31.289,31.163
alive,82,20190610,23,22.894,23.603,26,26.033,25.651
